what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1520959863465
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1520959873759
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1520959877331
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1520959877561
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1520959895092
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520959897010
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520959897441
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520959897463
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520959897652
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1520959897654
error,log,,,"Core exception while retrieving the content description",1520959898904
error,log,,,"Core exception while retrieving the content description",1520959898911
error,log,,,"Core exception while retrieving the content description",1520959898916
error,log,,,"Core exception while retrieving the content description",1520959898921
error,log,,,"Core exception while retrieving the content description",1520959898925
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520959900477
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520959900816
error,log,,,"Core exception while retrieving the content description",1520959901881
error,log,,,"Core exception while retrieving the content description",1520959901886
error,log,,,"Core exception while retrieving the content description",1520959901890
error,log,,,"Core exception while retrieving the content description",1520959901894
error,log,,,"Core exception while retrieving the content description",1520959901898
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520959906300
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520959931242
error,log,,,"Core exception while retrieving the content description",1520959932360
error,log,,,"Core exception while retrieving the content description",1520959932365
error,log,,,"Core exception while retrieving the content description",1520959932371
error,log,,,"Core exception while retrieving the content description",1520959932375
error,log,,,"Core exception while retrieving the content description",1520959932390
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1520959935287
error,log,,,"Core exception while retrieving the content description",1520959935740
error,log,,,"Core exception while retrieving the content description",1520959935743
