what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1537369087892
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1537369104541
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1537369105488
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537369106012
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537369107220
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537369109161
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537369167696
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537369173516
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537369174900
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1537369175922
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1537369176511
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1537369176733
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1537369177016
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537369192741
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537369291445
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537369298799
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1537369354026
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537369573181
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537369575369
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537369755071
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1537369755097
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1537369796820
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1537369796908
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.AllMarkersView",1537369801842
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537369808092
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537369863681
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537369863708
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537369865456
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1537369868262
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537369893803
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537370007210
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537370009521
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537370011170
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1537370011206
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1537370014045
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537370014453
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537370166953
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537370166979
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537370168151
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1537370170675
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537370171159
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537370255046
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537370255084
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537370256250
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1537370258410
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537370258874
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537370328313
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537370328339
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537370330023
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1537370331300
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537370339384
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537370858099
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537370858176
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537370863427
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537370863619
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537370897276
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1537370900073
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537370905311
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537370906766
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1537370917592
