what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1520691755670
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1520691755968
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1520691756000
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1520691768398
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1520691769265
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1520691770569
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1520691774956
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1520691775269
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1520691804195
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1520691804435
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520692780892
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520696380512
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520703321498
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520703375787
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1520703386611
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1520703395622
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520703397337
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520703397899
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520703397914
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520703398224
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1520703398246
error,log,,,"Publishing failed with multiple errors",1520703398378
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520703398480
error,log,,,"Publishing failed with multiple errors",1520703399205
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520703399752
