what,kind,bundleId,bundleVersion,description,time
os,sysinfo,,,"win32",1520873733805
arch,sysinfo,,,"x86",1520873733805
ws,sysinfo,,,"win32",1520873733805
locale,sysinfo,,,"en_US",1520873733805
processors,sysinfo,,,"4",1520873733805
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1520873733805
java.runtime.version,sysinfo,,,"1.8.0_74-b02",1520873733805
java.specification.name,sysinfo,,,"Java Platform API Specification",1520873733805
java.specification.vendor,sysinfo,,,"Oracle Corporation",1520873733805
java.specification.version,sysinfo,,,"1.8",1520873733805
java.vendor,sysinfo,,,"Oracle Corporation",1520873733805
java.version,sysinfo,,,"1.8.0_74",1520873733805
java.vm.info,sysinfo,,,"mixed mode",1520873733805
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1520873733805
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1520873733805
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1520873733805
java.vm.specification.version,sysinfo,,,"1.8",1520873733805
java.vm.vendor,sysinfo,,,"Oracle Corporation",1520873733805
java.vm.version,sysinfo,,,"25.74-b02",1520873733805
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1520873733845
started,bundle,org.jboss.ide.eclipse.archives.webtools,2.3.2.v20130112-0201-H153-Final,"org.jboss.ide.eclipse.archives.webtools",1520873733883
started,bundle,org.jboss.ide.eclipse.as.wtp.core,2.3.2.v20130112-0201-H153-Final,"org.jboss.ide.eclipse.as.wtp.core",1520873733883
started,bundle,org.eclipse.wst.wsdl.validation,1.1.502.v201104071820,"org.eclipse.wst.wsdl.validation",1520873733984
started,bundle,org.eclipse.wst.xsd.core,1.1.600.v201104070312,"org.eclipse.wst.xsd.core",1520873734133
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1520873734220
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1520873734377
started,bundle,org.jboss.ide.eclipse.as.ui.mbeans,2.3.2.v20130112-0201-H153-Final,"org.jboss.ide.eclipse.as.ui.mbeans",1520873734384
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520873734970
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520873736820
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1520873739988
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1520873740100
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1520873742095
started,bundle,org.jboss.ide.eclipse.archives.ui,3.3.1.v20130102-1730-H94-Final,"org.jboss.ide.eclipse.archives.ui",1520873742226
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.101.v201201031437,"org.eclipse.jst.ws.jaxws.dom.integration",1520873742311
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.505.v201202020200,"org.eclipse.jst.j2ee.ejb",1520873742333
started,bundle,org.eclipse.jst.j2ee.jca,1.1.501.v201111030500,"org.eclipse.jst.j2ee.jca",1520873742343
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1520873742344
started,bundle,org.eclipse.jst.jee.ejb,1.0.301.v201007070821,"org.eclipse.jst.jee.ejb",1520873742350
started,bundle,org.eclipse.jst.jee.web,1.0.301.v201007070907,"org.eclipse.jst.jee.web",1520873742351
started,bundle,org.eclipse.jst.servlet.ui,1.1.502.v201202011054,"org.eclipse.jst.servlet.ui",1520873742391
started,bundle,org.eclipse.xsd,2.7.1.v20120130-0943,"org.eclipse.xsd",1520873742493
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1520873742607
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1520873742609
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1520873750813
