what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509847738481
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509847810948
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1509847816152
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1509847819664
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1509847821999
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509847823080
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1509847824624
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509847825135
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1509847825149
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1509847828512
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1509847829723
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1509847833056
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1509847835481
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509847836136
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509847837294
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509847837728
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1509847838207
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509847838835
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1509847838857
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1509847840790
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1509847842370
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1509847844028
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.format.document",1509847844855
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1509847845147
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1509847847701
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1509847848083
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1509847854994
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1509847855207
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1509847885183
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1509847928681
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1509847929019
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1509847932308
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1509847932528
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1509847977658
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1509847983829
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509847986877
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509848006757
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1509848019306
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509848021226
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509848021624
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509848021642
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509848021884
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1509848021886
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1509848022945
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509848025309
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509848026728
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1509848026737
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509848027313
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509848027961
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509848032318
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509848032788
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1509848033018
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509848033188
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509848033385
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509848036308
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509848040132
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1509848046036
started,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1509848047541
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1509848050144
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1509848050175
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1509848062537
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1509848063242
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1509848066212
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.debug",1509848068934
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1509848069626
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509848084171
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509848128840
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509848128878
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1509848134152
started,bundle,org.eclipse.mylyn.context.ui,3.8.4.v20130429-0100,"org.eclipse.mylyn.context.ui",1509848134647
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1509848134669
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.VariableView",1509848134813
opened,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1509848135039
activated,perspective,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugPerspective",1509848135103
started,bundle,org.eclipse.mylyn.ide.ui,3.8.4.v20130429-0100,"org.eclipse.mylyn.ide.ui",1509848135938
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.BreakpointView",1509848136045
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1509848142145
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1509848143467
